category,name,address_text,ref,campus,source
"FOOD, BEVERAGE & RETAIL SERVICES",Crunch Café,10 Gymnasium Road,J12,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Cult Eatery,25B Wally’s Walk,O13,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Esc Café,4 Research Park Drive,O26,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Lachlan’s Restaurant,1 Executive Road,E23,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Library Café,16 Macquarie Walk,Q17,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",UBar,1 Central Courtyard,K18,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
"FOOD, BEVERAGE & RETAIL SERVICES",Wally's Coffee and Toasties,18 Wally’s Walk,N15,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,GP & Physiotherapy Clinics,2 Technology Place,K26,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,Hospital,3 Technology Place,L27,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,Macquarie Medical Ima ging (MMI),3 Technolo gy Place,L27,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,Pharmacy (Hospital),3 Technology Place,L27,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,Specialist Clinics,2 Technology Place,K26,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,Speech & Hearing Clinic,16 University Avenue,T14,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
MQ HEALTH,Woolcock Institute of Medical Research,2 Innovation Road,O30,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Chaplaincy,10 Hadenfeld Avenue,R6,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Childcare (Banksia Cottage),8 Link Road,P8,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Childcare (Gumnut Cottage),17 University Avenue,V15,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
OTHER SERVICES,Childcare (Mia Mia),29 Wally’s Walk,N11,Macquarie University (Wallumattagal Campus) NSW 2109,"MQ Location Guide (Property, Aug 2025)"
